"date","value"
"2012-07-27","13"
"2012-07-28","11"
"2012-07-29","15"
"2012-07-30","16"
"2012-07-31","18"
"2012-08-01","13"
"2012-08-02","22"
"2012-08-03","23"
"2012-08-04","20"
"2012-08-05","17"
"2012-08-06","16"
"2012-08-07","18"
"2012-08-08","21"
"2012-08-09","26"
"2012-08-10","24"
"2012-08-11","29"
"2012-08-12","32"
"2012-08-13","18"
"2012-08-14","24"
"2012-08-15","22"
"2012-08-16","18"
"2012-08-17","19"
"2012-08-18","14"
"2012-08-19","15"
"2012-08-20","12"
"2012-08-21","8"
"2012-08-22","9"
"2012-08-23","8"
"2012-08-24","7"
"2012-08-25","5"
"2012-08-26","11"
"2012-08-27","13"
"2012-08-28","18"
"2012-08-29","20"
"2012-08-30","29"
"2012-08-31","33"
"2012-09-01","42"
"2012-09-02","35"
"2012-09-03","31"
"2012-09-04","47"
"2012-09-05","52"
"2012-09-06","46"
"2012-09-07","41"
"2012-09-08","43"
"2012-09-09","40"
"2012-09-10","39"
"2012-09-11","34"
"2012-09-12","29"
"2012-09-13","34"
"2012-09-14","37"
"2012-09-15","42"
"2012-09-16","49"
"2012-09-17","46"
"2012-09-18","47"
"2012-09-19","55"
"2012-09-20","59"
"2012-09-21","58"
"2012-09-22","57"
"2012-09-23","61"
"2012-09-24","59"
"2012-09-25","67"
"2012-09-26","65"
"2012-09-27","61"
"2012-09-28","66"
"2012-09-29","69"
"2012-09-30","71"
"2012-10-01","67"
"2012-10-02","63"
"2012-10-03","46"
"2012-10-04","32"
"2012-10-05","21"
"2012-10-06","18"
"2012-10-07","21"
"2012-10-08","28"
"2012-10-09","27"
"2012-10-10","36"
"2012-10-11","33"
"2012-10-12","31"
"2012-10-13","30"
"2012-10-14","34"
"2012-10-15","38"
"2012-10-16","37"
"2012-10-17","44"
"2012-10-18","49"
"2012-10-19","53"
"2012-10-20","57"
"2012-10-21","60"
"2012-10-22","61"
"2012-10-23","69"
"2012-10-24","67"
"2012-10-25","72"
"2012-10-26","77"
"2012-10-27","75"
"2012-10-28","70"
"2012-10-29","72"
"2012-10-30","70"
"2012-10-31","72"
"2012-11-01","73"
"2012-11-02","67"
"2012-11-03","68"
"2012-11-04","65"
"2012-11-05","71"
"2012-11-06","75"
"2012-11-07","74"
"2012-11-08","71"
"2012-11-09","76"
"2012-11-10","77"
"2012-11-11","81"
"2012-11-12","83"
"2012-11-13","80"
"2012-11-14","81"
"2012-11-15","87"
"2012-11-16","82"
"2012-11-17","86"
"2012-11-18","80"
"2012-11-19","87"
"2012-11-20","83"
"2012-11-21","85"
"2012-11-22","84"
"2012-11-23","82"
"2012-11-24","73"
"2012-11-25","71"
"2012-11-26","75"
"2012-11-27","79"
"2012-11-28","70"
"2012-11-29","73"
"2012-11-30","61"
"2012-12-01","62"
"2012-12-02","66"
"2012-12-03","65"
"2012-12-04","73"
"2012-12-05","79"
"2012-12-06","78"
"2012-12-07","78"
"2012-12-08","78"
"2012-12-09","74"
"2012-12-10","73"
"2012-12-11","75"
"2012-12-12","70"
"2012-12-13","77"
"2012-12-14","67"
"2012-12-15","62"
"2012-12-16","64"
"2012-12-17","61"
"2012-12-18","59"
"2012-12-19","53"
"2012-12-20","54"
"2012-12-21","56"
"2012-12-22","59"
"2012-12-23","58"
"2012-12-24","55"
"2012-12-25","52"
"2012-12-26","54"
"2012-12-27","50"
"2012-12-28","50"
"2012-12-29","51"
"2012-12-30","52"
"2012-12-31","58"
"2013-01-01","60"
"2013-01-02","67"
"2013-01-03","64"
"2013-01-04","66"
"2013-01-05","60"
"2013-01-06","63"
"2013-01-07","61"
"2013-01-08","60"
"2013-01-09","65"
"2013-01-10","75"
"2013-01-11","77"
"2013-01-12","78"
"2013-01-13","70"
"2013-01-14","70"
"2013-01-15","73"
"2013-01-16","71"
"2013-01-17","74"
"2013-01-18","78"
"2013-01-19","85"
"2013-01-20","82"
"2013-01-21","83"
"2013-01-22","88"
"2013-01-23","85"
"2013-01-24","85"
"2013-01-25","80"
"2013-01-26","87"
"2013-01-27","84"
"2013-01-28","83"
"2013-01-29","84"
"2013-01-30","81"
